displacement,horsepower,weight,cylinders,modelYear,drivetrain,transmission,mpg
3.3,258,3213,8,1979,0,0,27.5
1.9,139,2320,4,1994,3,1,44.9
5.1,436,3562,12,1974,1,1,10.5
2.5,202,2658,6,2015,0,1,43.4
1.7,162,2891,4,2006,0,1,44.8
4,330,3589,10,2003,2,2,22.1
1.3,186,2817,4,2015,3,0,44.2
5.2,425,3730,12,1971,1,0,9
4.7,439,3512,12,1984,0,2,13.1
4.6,399,3718,12,1973,1,1,11.2
4.5,327,3043,10,2019,2,0,27.7
1.8,173,2913,4,1978,3,1,38.3
2,146,2360,4,2019,3,2,48.2
1.4,161,2838,4,1991,2,2,41.4
1.9,167,2748,4,2001,3,2,43.3
2.1,176,2412,4,2014,2,1,48.1
1.5,154,2260,4,2007,3,0,47.1
4.1,327,3653,10,1991,2,0,20.1
4.7,453,3401,12,1974,1,1,12.3
1.7,100,2925,3,2005,0,2,49.4
2.9,225,2493,6,1989,2,0,36.4
1.4,144,2770,3,2004,2,1,45.9
3.4,338,3559,8,2014,1,0,26.7
2.5,207,2813,6,2020,2,1,41.5
2.4,216,2576,6,1973,3,2,35.4
3.5,283,2897,8,2004,1,0,31.7
1.7,194,2155,4,1996,0,0,45.9
1.8,142,3089,4,2003,3,1,42.6
2.4,240,2434,6,2024,3,2,44.6
1,129,2538,3,2018,1,2,53.4
2.6,228,2400,6,1990,1,0,37.8
3.6,301,3403,8,1989,3,0,24.7
1.4,184,2192,4,2011,2,2,48.4
1.4,166,2908,4,1981,0,1,41.4
2.1,187,3050,4,1997,2,1,40.6
4.5,375,3722,10,1988,3,0,17.6
1.4,172,2641,4,2016,3,2,47.5
3.3,321,2766,8,1996,3,2,28.8
2.5,235,2758,6,1984,2,1,34.9
2,187,2849,4,2020,3,1,44.4
3.5,312,3565,8,2012,3,1,26.8
4.5,334,2977,10,1996,3,2,22.8
1.4,127,2381,4,2005,1,0,49.1
1.4,144,2403,4,2004,2,2,48.4
3,327,3193,8,2014,3,2,30.3
1.7,196,2658,4,2015,1,1,46.5
4.5,440,3826,12,1991,1,1,13.2
2.4,220,2496,6,2004,1,2,39.6
2.3,219,2432,6,2007,1,2,41.5
5,462,3247,12,2000,3,2,16.9
1,127,2355,3,1973,3,1,45.7
3.6,291,2691,8,1976,0,0,29
1.3,162,2923,4,2011,1,0,46.6
4.2,406,3669,10,1980,0,2,16.7
1.4,168,2383,4,2013,1,1,48
3.3,265,2602,8,2013,1,0,37.6
4.1,394,3430,10,2002,2,2,20.8
1,105,2708,3,1977,1,0,43.9
1.5,198,2390,4,1991,3,1,44.5
2.8,223,3313,6,1989,0,2,32.7
2,140,2453,4,2017,1,0,49.2
1.1,147,1942,3,2002,3,0,51.4
4.2,359,3786,10,1991,3,2,17.5
1.7,113,2491,4,2023,1,0,52.9
1,78,1982,3,1998,1,1,55.4
1.2,109,2031,3,2002,0,2,53.9
4.6,431,3454,12,1980,2,2,13.5
4.6,398,3104,12,2023,1,2,24.9
3.1,302,3481,8,2021,3,1,33.2
4.9,415,3494,12,2009,0,0,17
1.5,128,2809,4,1983,0,0,43.8
4.5,391,3185,10,2004,3,2,22
2.8,249,2607,6,2014,3,1,40.6
1.5,197,2854,4,1980,0,0,39
5,460,3294,12,2020,2,1,17.6
2,196,2347,4,1993,2,2,42.9
1.9,135,2582,4,2013,0,0,49
4.4,386,3324,10,1999,1,1,19.7
1.8,124,2266,4,1983,0,1,46.3
2.8,208,2668,6,1982,3,0,34
1.6,134,2280,4,1972,0,0,43.6
3.9,363,2918,10,1995,2,1,24.7
2.6,221,2951,6,2020,0,1,41.7
1.4,191,2591,4,1983,2,2,41.3
1.3,161,2697,4,1980,1,2,40.7
1.5,147,2718,4,1986,1,2,44.3
2.2,221,3202,6,2004,0,0,36.8
1.6,127,2793,4,1988,2,1,44.6
4.5,416,3894,12,2009,1,2,17
4.6,438,3097,12,2011,0,0,21.7
1.5,143,2543,4,2012,2,1,49.4
1.2,84,2843,3,2007,0,1,51.6
2.1,186,2478,4,1990,0,1,41.6
1.7,136,2658,4,2018,2,1,48.9
4,401,3549,10,1984,2,1,15.8
3.4,264,3481,8,1987,0,1,26.2
1.7,134,3067,4,1980,0,1,40.2
1.9,126,2893,4,2015,0,0,46.7
2.7,195,2995,6,1999,3,0,37.8
1.4,140,2766,4,2005,0,2,47.1
3.3,252,2781,8,2017,3,0,35.4
3.7,276,2871,8,1990,0,1,28.5
1.8,187,2266,4,1999,3,2,46.1
5.2,404,4003,12,2012,2,1,14.9
3.9,366,3271,10,2002,0,1,23.7
3.6,279,3080,8,1999,0,1,31.7
2.6,198,2498,6,2008,0,0,41.4
1.9,120,2265,4,1998,3,0,46.3
2.6,246,2597,6,1994,1,0,35.3
5.2,426,3716,12,2024,0,2,19.8
5.3,398,3639,12,2023,2,0,21.1
3.2,321,2742,8,1994,2,2,31.5
4.4,357,3454,10,2021,1,1,25.3
3.3,327,3535,8,1978,1,0,21.3
1.9,154,2229,4,1973,1,0,43.4
3.1,299,2590,8,2021,1,0,35.3
1.3,177,2701,4,1994,2,0,42.1
1.9,192,2429,4,1989,2,0,43
1.1,139,2890,3,2009,3,2,48.2
3.6,276,2796,8,2012,0,2,36.6
2.4,224,2913,6,1985,0,2,33.9
1.1,135,2144,3,2013,0,1,54.2
1.3,107,2736,3,2000,3,1,46.4
2,151,3152,4,1980,2,2,36.6
5.2,410,3219,12,1972,0,2,12.9
4.8,428,3533,12,2011,0,0,17.1
2.1,160,2819,4,2020,1,0,45.5
1.5,122,2420,4,1994,3,2,45.9
1.5,175,2612,4,1986,1,1,43.2
3.3,304,2828,8,2002,1,2,32.4
4.9,471,3387,12,2024,0,2,19.1
1.8,175,2824,4,1978,3,1,37.1
1.8,148,3026,4,2013,1,1,46.1
2.1,131,2262,4,2015,1,0,48.9
4.7,430,3188,12,2002,2,0,16.9
1.9,147,2287,4,2015,0,0,48.7
4.9,434,3520,12,1976,2,0,10
1.9,183,2950,4,1995,1,0,42.3
4.7,449,3451,12,1977,2,1,12.3
3.1,265,3473,8,2015,3,0,30.2
4.2,385,3537,10,1974,1,0,14.3
2.6,224,2771,6,2011,2,0,40.2
3.2,295,3127,8,1998,2,2,28.9
1.6,147,2136,3,1987,3,2,45.5
5.1,466,4120,12,1983,2,0,9
1.6,79,2531,3,1992,1,0,47.3
2.9,181,3100,6,2004,2,1,38.4
2.9,308,2612,8,2000,0,1,31.9
2.9,305,2885,8,1975,3,0,27.6
3.2,297,2650,8,2017,1,1,35.3
1.4,158,2966,4,1986,3,2,41.9
1.5,147,2716,4,1998,3,2,43
1.6,102,2538,3,1971,1,1,42.1
4.4,380,3179,10,2000,0,2,23.6
1.4,129,2602,4,1971,2,1,42.7
1.7,158,2820,4,1994,2,2,41.7
2,180,2542,4,2009,3,0,43.9
3.4,295,3322,8,2015,2,0,32.2
2.7,222,2838,6,1991,1,2,35.1
2.5,221,2996,6,1991,0,0,36
2.2,230,2602,6,1998,3,1,39
4.7,435,3612,12,1987,0,2,13.3
4.1,363,3723,10,2021,0,2,24.8
3,279,2982,8,2003,2,1,32.9
3.7,304,3133,8,2009,1,0,31
1.8,164,2497,4,1990,0,1,44.8
2.6,230,2941,6,1987,2,1,32.8
3.2,278,2922,8,2001,1,0,31.9
3.5,253,2955,8,2022,2,2,34.9
1.7,159,2228,4,2004,2,0,46.7
4.3,330,3560,10,2015,2,2,26.5
4.8,401,3941,12,1994,0,2,15.3
1.7,156,2950,4,1986,2,0,39
1.5,145,2195,4,1981,3,1,45.4
1.5,120,2135,4,2011,0,2,51.9
4.9,409,3988,12,2004,1,1,13.4
1.8,117,3134,4,1972,1,2,37.5
3,296,2711,8,2020,1,0,36.1
5,398,3739,12,1974,2,0,11.9
5,468,3774,12,1990,3,0,9
3.4,271,3603,8,1993,1,2,29.2
3.2,334,2925,8,2014,1,0,30.8
3.2,265,2956,8,2024,2,1,37.7
3.1,316,3136,8,1991,3,2,27.8
1,138,2088,3,2014,2,1,54.1
1.3,112,2726,4,1989,3,1,45.6
4.4,358,3611,10,1980,1,0,18.6
2.6,192,2628,6,1993,2,2,37.2
3.8,329,3367,10,2024,0,1,29.7
1.4,137,2382,3,1999,1,2,49.1
2.2,192,2523,6,1993,2,0,40.1
3.4,292,2822,8,1986,1,0,29.6
2.5,220,3038,6,1997,2,0,34
3,261,2563,8,1992,0,1,35.4
2.3,220,2687,6,1992,2,2,36.9
1.6,172,2468,4,1988,3,0,43.6
1.7,147,2354,4,2016,1,1,49.8
2.7,200,2522,6,2011,2,1,42.1
1.6,138,2612,4,2011,0,1,47.2
1.9,127,2942,4,1992,2,2,41.5
1.8,159,2941,4,1994,1,0,41.8
3.5,303,2850,8,1997,1,0,28.7
1.3,150,2884,3,1989,2,1,44.6
3.5,333,3055,8,2007,0,2,31.9
1.7,198,2751,4,2009,0,2,46.1
1.3,161,2012,3,1977,2,2,47.4
3.5,259,2676,8,2007,2,0,34.8
2.8,255,2922,6,1976,1,2,32.3
1.8,195,2581,4,2001,2,0,44.6
1.9,137,3018,4,2010,1,2,46.9
1.2,112,2470,3,1987,2,1,45.7
1.2,97,2484,3,1972,2,2,44.8
2.4,229,3245,6,2004,0,2,35.9
1.5,188,2698,4,1989,1,0,40.2
2.8,225,2577,6,2004,1,0,38.1
1,146,1946,3,1978,2,0,45.3
2.8,211,3063,6,2017,3,2,37.7
1,114,2698,3,2013,0,2,51.5
1.4,119,2811,3,1990,0,0,43.7
4.8,445,4029,12,1984,0,2,9
5.1,442,3916,12,2007,2,1,14.7
1.4,135,2831,4,2009,0,0,47.5
1.8,162,2970,4,2012,3,0,44.9
1.7,129,2770,4,1976,2,0,40.6
1.6,160,2476,4,2014,0,0,47.3
3,308,3032,8,2007,2,1,32
3.3,315,3583,8,2022,1,0,29.1
3.1,253,3255,8,1974,3,0,27.3
2.5,224,2524,6,2020,0,2,45.5
3.4,256,2638,8,1989,1,0,33.3
2,166,2379,4,1973,1,2,41.9
1.3,107,2706,3,2007,0,0,50.8
1.9,113,2267,4,2004,1,2,50.5
1.3,116,2038,3,2007,1,1,54.4
5,480,3176,12,1986,2,1,13.1
1.6,137,2950,4,1993,1,2,42.3
1.4,103,2726,3,1997,0,1,46.7
1.8,148,2273,4,1987,2,0,42.8
3.4,268,3078,8,1984,3,0,28.5
2.7,267,3378,6,2020,2,0,34.2
3.2,289,3040,8,1984,0,2,29.6
1.5,145,2350,4,2001,2,1,46.5
2.9,197,2889,6,1984,3,1,35.8
1.5,137,2433,4,2001,0,2,46.6
2.7,184,3081,6,1996,1,0,35.1
5.2,447,4092,12,2020,1,0,15
1.4,155,2986,4,1993,2,0,43.3
3.5,302,3522,8,2008,0,2,27.7
5.3,418,3210,12,2016,1,0,20.5
3.1,303,3216,8,2008,3,1,32.1
3.8,323,3259,10,1992,2,1,22.9
2,188,2285,4,2000,2,2,44.8
5.2,405,3454,12,2006,1,1,18.1
2.3,229,2510,6,1999,0,2,41.7
4.3,344,3205,10,1999,3,0,24.1
4.1,325,3600,10,1997,1,2,22.8
1.6,146,2768,4,1987,2,2,42.1
1.7,115,3072,4,2007,3,1,46.7
3.5,256,2689,8,1997,0,0,33.3
1.9,135,2545,4,1987,0,1,44.4
1.4,197,2653,4,2007,1,0,44.2
4.3,348,3643,10,2011,3,1,23.4
1,156,2025,3,1973,0,0,46.2
3.5,266,3302,8,1984,3,2,28.3
2.2,192,3181,6,1980,1,0,33.5
2.6,247,2767,6,1983,1,0,33.9
1.4,142,2407,3,1987,3,0,43.6
1.6,163,2241,3,2020,0,1,50.6
3.2,324,3218,8,1971,3,1,24.2
4.3,337,3480,10,1984,3,0,19.3
2.7,252,2744,6,1989,0,2,34
3.4,308,2644,8,2019,3,0,35.8
2.1,226,2381,6,1978,0,0,36
3.3,260,3166,8,2023,3,1,36.5
1.6,162,2368,4,1988,2,0,42.6
2.8,244,2550,6,1991,2,1,36.4
1.4,172,2334,4,1976,3,1,41.7
1.8,181,2282,4,2011,1,2,47.6
3.3,305,2640,8,1982,3,2,27.8
1.7,178,2693,4,1987,3,1,39.5
2.5,215,2652,6,2023,3,0,43
2.1,161,2817,4,1979,2,0,39.1
1.5,184,2051,4,1980,1,1,44
1.4,155,2666,4,1975,2,1,42.2
4.7,421,3258,12,1983,2,2,16
3.2,267,3205,8,1983,0,2,28.3
3.6,331,3608,8,2017,2,0,29.2
1.9,182,2834,4,2022,2,2,46.8
5.2,469,3612,12,1980,1,2,9
1.1,124,2788,3,1999,1,2,46.8
4.9,456,3697,12,2022,0,0,17.1
1.8,165,2709,4,2020,2,2,46.7
3,311,3241,8,2014,1,2,31.5
1.3,165,2534,3,2018,3,1,50
3.3,323,3205,8,2001,2,0,26.4
3.4,258,3347,8,1983,0,0,27
2.1,138,2805,4,2005,1,0,44.9
1.5,131,2460,4,1995,1,0,47.1
4.3,345,3356,10,1998,3,1,21.8
2.6,247,2905,6,2011,1,1,38.1
1.4,142,2251,4,2007,0,1,51.5
1.6,190,2464,4,2016,1,0,46.3
2.4,233,2830,6,1983,2,0,32.9
3.7,345,2933,10,2022,3,0,29.4
5,470,3854,12,1998,2,0,10.8
2.6,232,2730,6,2009,1,0,39.8
1.6,185,2136,4,2012,0,2,48.4
2.8,263,3256,6,1979,3,0,28.2
2.6,194,2397,6,1997,0,1,40
4.3,379,3299,10,2023,3,2,24.6
2.1,124,2578,4,2022,0,1,50.3
1.6,136,2847,4,1982,2,2,41.1
2.2,211,2524,6,1993,3,1,39.9
2.9,187,2919,6,2002,2,0,36.8
2.8,185,2675,6,2012,2,2,42.7
1.5,154,2346,4,1979,0,2,42.4
3.5,319,2763,8,2017,3,0,34.5
1.6,119,2482,3,2021,1,2,53.5
3.7,371,3416,10,2008,2,1,25.5
1.4,160,2977,4,2004,3,2,45.5
4.6,439,3548,12,2024,1,1,21.3
3.1,286,3487,8,2020,0,2,34.6
4.3,348,2925,10,2018,0,2,28.5
2.4,267,2479,6,2021,3,2,41.2
2,150,2891,4,1999,1,1,43.9
1.3,113,2515,3,2010,0,1,50
1.6,151,2113,3,1975,1,0,45
1.6,159,2502,4,1988,1,2,45.4
4.9,465,3476,12,1977,2,1,11.9
1.8,162,2210,4,1986,2,2,45.7
1.8,197,2892,4,2010,2,1,44.9
1.3,195,2397,4,1977,3,2,39.6
3.7,286,3009,8,2001,0,2,29.7
2.8,267,3232,6,1997,0,1,32.8
1.3,170,2270,4,1976,3,1,41.1
4,345,2834,10,2007,2,2,27.7
1.8,171,3014,4,1970,3,0,36
1.7,110,2352,3,1988,0,0,46.4
2.1,253,2966,6,2005,0,2,37.2
1.7,124,2445,4,2022,3,2,52.3
4.6,438,3475,12,1982,3,2,11.8
1.6,190,2531,4,1983,3,1,41.7
1.5,145,2517,4,1990,0,0,45.5
3,292,2692,8,2020,1,1,37.4
2.5,186,2979,6,1990,1,2,36.8
2.9,335,3312,8,2019,2,2,30.5
1.6,191,2677,4,1985,1,0,40.4
1.9,135,2849,4,1993,3,2,41.3
1.6,75,2481,3,1984,1,1,48.2
3.3,296,3467,8,1989,2,0,25.7
3.6,289,3246,8,1980,3,0,22.8
1,122,2320,3,2021,3,2,54.6
3.3,275,2640,8,1984,2,0,31.3
1.5,119,2080,3,1972,1,0,44.5
2.9,331,3411,8,1994,1,1,28.1
1.8,130,2222,4,2016,1,0,49.2
2.8,260,2922,6,2021,3,1,39.1
1.4,148,2713,4,1973,3,0,40.9
1.7,199,3025,4,1989,0,0,37.8
3.1,306,3020,8,1970,2,0,25.5
3.5,307,3523,8,1995,1,2,26
3.8,369,2804,10,2000,0,0,24.5
2,188,2365,4,1971,0,1,38.5
3.7,322,3069,8,2011,1,1,31.7
2.1,182,3162,4,2021,0,2,46.2
1.5,106,2813,3,1985,3,1,45.5
1.6,128,2229,4,2005,1,0,49.3
3.5,259,2689,8,2002,1,1,32.5
1.5,137,2485,4,2016,2,2,50.6
2.6,180,2955,6,1971,3,0,32.4
3.4,272,2898,8,1980,3,0,25.6
2.2,206,3071,6,1988,0,1,37.6
2.1,137,2326,4,1997,1,0,45.3
1.9,111,2698,4,1977,1,2,42.8
2,125,2791,4,2010,0,2,46.7
1.9,127,2878,4,1983,3,2,42.4
2.6,254,3375,6,1994,3,1,30.8
3,252,2631,8,1974,3,0,27.9
4.4,344,3198,10,2002,3,2,23.6
1.5,125,2074,4,1991,3,0,45.6
1.4,117,2589,4,1991,3,0,44.7
5.1,440,3653,12,1981,0,0,12
2.6,217,2792,6,1997,3,0,36.1
3.5,269,3342,8,1971,3,0,23.9
1.6,155,3032,4,2022,0,1,48.3
2.4,220,2575,6,2009,0,2,42
1.7,177,2195,4,2007,0,1,48
2.2,241,2896,6,2001,2,2,36
1.7,165,2374,4,2013,1,2,49.1
3.1,299,3114,8,2016,1,2,34.3
2.6,240,3071,6,2012,2,1,39.4
1.7,121,2862,4,1985,3,0,41
1.9,113,2472,4,1988,2,0,45.1
2.8,214,3019,6,2005,0,0,38.1
1.7,164,2460,4,1998,1,0,45.6
2.3,207,3034,6,1972,3,0,33
2.7,264,2574,6,2012,0,2,39.2
4.8,415,3583,12,1971,0,2,11.2
3.1,305,2657,8,2020,0,2,38.1
1.8,143,2817,4,2024,3,1,47.4
4.9,440,3173,12,2007,3,1,17.9
1.4,119,2722,3,2017,0,2,52.2
2.7,225,2623,6,1979,1,2,33.7
1.8,143,2223,4,2010,2,1,49.2
1.9,170,2667,4,2016,3,2,45.7
2.9,329,2917,8,1994,0,1,30
4.7,425,3827,12,1989,1,2,14
3.7,269,2827,8,1996,1,2,30.8
1.1,115,2632,3,2023,2,0,52.8
1.5,178,2353,4,1998,2,1,44.2
1.8,118,2591,4,1985,1,0,41.9
1.9,138,2344,4,2017,2,0,51
4.1,368,3182,10,2014,1,0,26.2
3.4,252,3515,8,1998,1,2,28.9
2.8,265,2845,6,2022,1,0,39.6
1.9,166,2741,4,2023,2,0,46.3
2,139,3107,4,1988,0,1,39.4
2.2,201,2920,6,1991,1,2,37.3
1.9,175,2965,4,2008,0,1,43.4
2.7,184,2606,6,2023,1,1,43.4
2.1,124,3030,4,1993,3,2,41.9
1,97,1994,3,1988,0,0,52.7
3.8,325,3325,10,2018,3,1,28.7
2.6,184,3198,6,2012,2,0,40.1
1.9,186,2332,4,2022,0,2,50.1
3.7,381,3372,10,1985,1,2,21.9
1.7,172,2937,4,2020,0,2,48.4
3.4,273,2806,8,2019,0,0,35.2
3.3,277,3551,8,1982,1,2,27.2
3.4,285,3609,8,1996,0,1,26.6
4.2,347,3270,10,2018,0,2,26.5
1.6,127,2138,4,2006,1,0,48.8
1.8,124,2255,4,1996,1,2,49.6
1.5,92,2178,3,1972,2,2,47.9
2.3,233,2423,6,1974,1,1,37.2
1.7,189,3038,4,1975,2,2,38.6
2.7,247,3164,6,1978,3,1,29.2
2.9,205,2712,6,2000,0,0,38.5
1.1,158,2745,3,1973,3,0,38.7
1.8,185,2151,4,1979,1,2,43.8
3,326,2862,8,1997,1,2,30.9
1.6,111,3055,4,1980,1,2,41.3
2.6,230,2490,6,2022,3,2,44.8
1.8,131,2225,4,2008,0,1,51.5
2.3,235,2971,6,1983,2,0,33.7
1.3,152,2540,3,2004,2,0,47.7
2.8,264,3267,6,2006,1,1,35
3,308,3079,8,2001,0,2,32.4
1.5,196,2539,4,1998,2,1,44.7
3.8,373,3566,10,1985,1,2,21.1
1.5,94,2100,3,2021,2,0,54.7
3.3,263,3489,8,1977,3,0,25.6
4,369,3507,10,2017,2,1,23.4
4.1,401,3618,10,2014,2,1,22.5
3.5,251,2872,8,1970,1,0,26.1
1.5,133,2642,4,2002,0,2,48.5
4.3,325,3838,10,2007,1,2,22.4
2.1,157,2586,4,2018,2,0,46.7
2.6,216,3168,6,1979,0,0,31.4
2.3,235,2958,6,1995,2,1,35
1.6,148,3010,4,2013,1,1,47.3
1.5,119,2282,4,1971,2,2,43.5
1.2,138,2864,3,1999,2,0,44.2
1.5,185,2962,4,1985,3,1,38.4
2.8,254,3245,6,2024,2,0,38.7
5.1,393,4126,12,1979,2,2,9
4.2,362,3422,10,2024,1,2,26.5
2.7,200,2916,6,1978,2,2,35.3
1.6,154,2510,4,1971,1,0,41.9
1.7,199,2625,4,1983,2,1,38.2
3.5,317,3626,8,2024,0,1,30
1.9,198,2427,4,1976,2,1,41.1
1.4,117,2761,4,1987,1,1,42.7
3.6,331,3122,8,2017,3,1,28.8
2.1,157,2835,4,1973,0,0,36.9
3.7,295,2950,8,1981,2,0,25.5
1.5,125,2754,4,1974,3,2,42.5
2.8,247,2524,6,2017,1,0,41.9
1.2,149,2315,3,1988,3,2,45
1.4,115,2619,4,1995,3,2,46
3.7,343,3029,10,2023,3,0,29.4
1.9,147,2319,4,1970,1,2,43.4
4.8,449,3370,12,2002,0,1,18.4
4.7,408,3197,12,1993,0,2,17.3
4.7,392,3720,12,2023,3,2,20.2
2.3,208,2479,6,1972,3,2,34.4
3.8,334,3345,10,1998,0,0,24.3
1.5,160,2806,4,2008,3,0,43.6
2.7,268,2870,6,1984,1,2,34.3
3,327,2526,8,2017,1,0,35.9
5,429,3647,12,2003,3,1,15.6
1.9,144,3055,4,1970,3,0,37.1
2.4,246,2397,6,1984,3,1,36.9
2.2,210,2359,6,2020,1,2,46.4
1.8,195,2830,4,2022,3,0,44.3
3.2,335,3062,8,2020,1,2,32.2
4,350,3162,10,2018,0,2,27.2
3.4,296,2835,8,1993,3,1,29.2
5.1,399,3530,12,1971,0,1,13.4
3.3,312,3132,8,2023,1,2,33.4
1.8,155,2690,4,2011,3,1,47.7
1.8,150,2487,4,2013,3,0,48.9
1.4,139,2467,4,1984,2,2,42.9
1.9,173,2309,4,1981,2,2,41.1
1.4,130,2480,4,2006,1,2,47.9
3.2,258,3358,8,1988,0,0,28.5
4.7,422,3837,12,2020,1,1,19.7
1.8,160,2889,4,2002,1,2,45.6
3.5,322,2876,8,2013,0,2,34.2
2.4,231,3263,6,1976,0,0,31.6
1.3,139,2686,4,1975,2,1,41.7
5,475,3527,12,1979,2,1,10.4
2.1,177,2320,4,2021,2,1,49.4
2.1,112,2906,4,2004,3,1,44.7
3.4,275,2623,8,1980,1,0,29.6
2.6,226,2972,6,1994,1,2,37.6
3.5,334,3063,8,2020,1,0,30.8
1.5,154,2889,4,2017,2,2,45.8
1.3,154,2142,4,1980,1,1,43.9
3.2,317,3242,8,1988,3,0,26.5
1.9,166,2507,4,1972,2,0,40.7
1.4,157,2228,4,1998,1,1,46.7
4,349,3674,10,2003,2,2,21.3
1.4,129,2601,3,2021,1,1,51.6
1.7,172,2571,4,1978,3,2,41.5
4.5,391,3788,10,1986,1,0,14.2
1.9,140,2720,4,1996,0,0,43.1
2.1,121,2843,4,2015,3,0,46.1
5.1,479,3992,12,2008,2,2,13.2
2.5,229,3055,6,2005,3,0,34.6
3.5,328,2952,8,1985,3,0,23.9
1.5,127,2358,4,2022,0,1,53.2
1.4,140,2160,4,1985,0,2,48.1
4.1,386,3793,10,1972,1,1,14.8
2,136,2213,4,1973,1,0,44
3.3,326,2810,8,2002,0,2,30.3
1.7,151,2324,4,1999,0,0,48.4
5.1,416,4047,12,1977,0,2,10.7
1.3,166,2842,4,1977,2,2,38.6
3.1,266,2610,8,2007,2,1,37
2.6,188,3032,6,2014,0,1,39.6
1.5,175,2248,4,2011,2,0,49.9
1.8,188,2396,4,2019,0,1,48.9
2.4,239,3128,6,1976,0,0,30.2
1.9,136,2874,4,2011,2,2,47
1.7,129,2189,4,2003,3,0,48.5
3.2,315,2922,8,2006,3,0,28.9
1.3,77,2727,3,2019,1,1,52.6
2.3,248,2842,6,2006,1,0,39.5
4.5,393,3500,12,2004,1,0,17.9
1.4,137,2314,4,2011,2,0,51.2
2,140,2893,4,1975,3,0,36.5
2.1,195,3010,4,1971,1,0,36.1
2,188,3078,4,1995,0,2,41
1.8,163,2762,4,1974,1,0,40
1.5,123,3047,4,1994,0,1,42.6
2.7,267,2787,6,2023,3,0,38.9
1.5,189,2398,4,1990,2,2,45.2
4.7,419,3980,12,2004,1,2,13.7
5.1,414,3387,12,2020,0,2,20
2.2,254,2702,6,1986,3,2,34.2
1.6,138,2433,3,1975,0,1,45.5
1.9,122,2481,4,1994,2,2,47.1
2,198,2867,4,1979,0,0,37.2
2.3,196,3210,6,2006,0,1,37.7
5.1,472,3267,12,1989,3,1,13.3
2,122,2635,4,2021,3,1,49
2.6,199,2929,6,2018,3,2,42.9
4.8,397,3388,12,1992,1,2,17.6
4.3,334,3462,10,1989,1,1,20
1.1,98,2763,3,1981,0,1,46.2
3.1,308,3115,8,1995,0,1,29.8
1.8,129,2466,4,2001,2,2,46.6
3.8,323,3725,10,2011,1,2,24.7
2.4,220,2332,6,1993,1,0,40.2
3.8,336,3207,10,1977,2,2,22.3
1.7,186,2874,4,1995,2,2,40.8
1.4,158,2103,4,1993,3,2,48.1
1.3,175,2445,4,2014,3,2,47.7
3.6,315,3633,8,1995,0,1,25.3
1.2,83,2406,3,2003,1,2,53.8
2.7,269,3317,6,2007,2,2,35.1
3.7,254,2787,8,2010,3,1,34
4.8,440,3581,12,1980,2,1,11.1
1.7,155,2847,4,2013,1,0,45.2
2.3,217,2982,6,2013,2,2,39.1
1.4,121,2711,4,2015,3,1,48
2.9,326,3367,8,2010,1,2,29.4
1.6,140,2261,4,1971,3,1,40.5
4.1,398,3662,10,2010,3,0,20.4
2.9,266,2999,8,1988,3,2,31.7
4.5,391,3020,12,1971,0,1,15.2
5.1,397,3630,12,1999,0,1,16.4
1.3,113,2743,4,1970,1,2,40.7
1.5,138,2459,4,2009,0,2,50
1.9,135,2573,4,2002,0,2,46.4
